"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"M2026_RED";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"27,99";"27,99";"37, 38, 39, 40, 41";"crvena";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12951/"
"M2026_LEPTIR";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"27,99";"27,99";"37, 38, 39, 40, 41";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12952/"
"M189_BROWN";"ANTONIA COMFORT ANATOMSKE NATIKAČE";"ANTONIA COMFORT";"Žensko - Obuća - Natikače";"22,49";"24,90";"37, 39";"smeda";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-2459/"
"M189_BEIGE";"ANTONIA COMFORT ANATOMSKE NATIKAČE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Natikače";"22,49";"24,90";"38, 39";"bez";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-2460/"
"M189_RED";"ANTONIA COMFORT ANATOMSKE NATIKAČE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Natikače";"22,49";"24,90";"37, 38";"crvena";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-12814/"
"M189_FLOWER";"ANTONIA COMFORT ANATOMSKE NATIKAČE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Natikače";"22,49";"24,90";"37, 38, 39";"";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-12865/"
"PINA_WHITE";"AQUA TIME JAPANKE";"AQUA TIME";"Žensko - Obuća - Japanke";"6,50";"6,50";"36";"bijela";"Dostupno";"https://woolf.hr/japanke-proizvod-4985/"
"GL173_BORDO";"BAOBAOD CIPELE";"BAOBAOD";"Žensko - Obuća - Cipele";"16,99";"19,99";"36";"bordo";"Dostupno";"https://woolf.hr/cipele-proizvod-12042/"
"A01_GREEN_N";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"37";"zelena";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-4751/"
"A01_FLOWER_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"36";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-6806/"
"A01_RED_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"36";"crvena";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-6875/"
"A06_SILVER_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"70,21";"36, 41";"srebrna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-6878/"
"A05_FLOWER_PC";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"62,25";"36";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-6950/"
"A01_PINK_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"36";"pink";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-7021/"
"A01_HEART_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"36";"sareno";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-7094/"
"A01_PINK_C1";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"54,99";"59,59";"36";"pink";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-8383/"
"AA01_BEIGE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"62,99";"36";"bez";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-9575/"
"AA01_SILVER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"36, 41, 42";"srebrna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-9751/"
"AA01_HEART";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"36";"sareno";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-9850/"
