"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"2019_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"45,99";"53,99";"36";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8869/"
"5001_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"52,99";"36, 37, 38, 39, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8979/"
"5001_RED";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"45,99";"36";"crvena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8980/"
"5001_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"52,99";"36, 37, 40, 41";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8981/"
"950_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"49,99";"35, 36, 37, 39, 40, 41, 42";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9056/"
"900_1BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"45,99";"36, 37, 38, 39, 40, 41, 42";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9250/"
"4250_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"38, 39";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9251/"
"5001_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"52,99";"36, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9255/"
"4251_MINT_SILVER";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"47,99";"36, 37";"zelena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9257/"
"900_1WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"45,99";"36, 37, 40";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9646/"
"4251_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"51,99";"36";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11068/"
"PU_100_N_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"31,99";"33,99";"36, 37, 38, 40, 41, 42";"pink";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11546/"
"PU_100_N_SILVER";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"31,99";"33,99";"36, 37, 38, 39, 40, 42";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11547/"
"3300_N_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"44,99";"36, 37, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11745/"
"3300_N_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"44,99";"36, 37, 38, 39, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11746/"
"3300_N_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"44,99";"36, 37, 38, 39, 40, 41";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11747/"
"912_N_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"45,99";"51,99";"36";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11748/"
"2022_N_MINT";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"51,99";"36, 37, 38, 39, 40, 41";"zelena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11749/"
"2022_N_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"51,99";"37, 38, 39, 40, 41";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11750/"
"2022_N_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"51,99";"36, 37, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11751/"
"2022_N_SILVER";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"51,99";"37, 38, 39, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11752/"
"2019_N_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"54,99";"37, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11754/"
"5002_N_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"51,99";"36, 37, 39, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11757/"
"5002_N_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"51,99";"36, 37, 38, 39, 41";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11758/"
"5002_N_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"51,99";"36, 37, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11759/"
"2022_N_PERLA";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"51,99";"36, 37, 38, 39, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11842/"
"5001_N_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"52,99";"36";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11951/"
"KO953_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"48,99";"37, 38";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12625/"
"KO2019_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"53,99";"37, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12628/"
"KO2019_RED";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"53,99";"40, 41";"crvena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12629/"
"KO2019_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"54,99";"37, 39, 40";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12630/"
"KO360_RED";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"47,99";"36, 37, 40";"crvena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12631/"
"KO360_BLUE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"47,99";"36, 37, 41, 42";"plava";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12632/"
"KO951_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"48,99";"36, 37, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12633/"
"KO154_RED_W";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"35,99";"42,99";"37, 38, 39";"crvena";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12634/"
"902_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"36, 37, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12771/"
"KO360_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"47,99";"36, 37";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12775/"
"902_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"37, 38, 39, 40, 41";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12792/"
"2023_PERLA_L";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"36, 37, 38, 39, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12793/"
"2023_BLACK_L";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"36, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12795/"
"2023_WHITE_L";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"38, 39";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12819/"
"800_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Dječje - Obuća - Klompe";"35,99";"42,99";"30-31";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12885/"
"KO3100_WHITE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"29,99";"36,99";"37";"bijela";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12886/"
"KO3100_BLACK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"29,99";"36,99";"38";"crna";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12887/"
"KO950_BLUE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,99";"48,99";"36, 37";"plava";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12889/"
"KOV261_BLUE";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"36,99";"36, 37, 38, 39";"plava";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12890/"
"KOV202_PINK";"LEON KOŽNE ANATOMSKE KLOMPE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"32,99";"36,99";"36";"pink";"Dostupno";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12891/"
"KO910_BLACK";"LEON KOŽNE NATIKAČE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"43,99";"36, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-12623/"
"KO910_WHITE";"LEON KOŽNE NATIKAČE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"36,99";"43,99";"40";"bijela";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-12624/"
"905_BLACK";"LEON KOŽNE NATIKAČE";"LEON";"Žensko - Obuća - Anatomska obuća - Klompe";"39,59";"43,99";"36";"crna";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-12876/"
"203397_BEIGE";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 38, 39";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10362/"
"154412_WHITE";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"26,99";"26,99";"37, 38, 39, 40, 41, 42";"zelena";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10585/"
"M202_3_WHITE";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"38";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12399/"
"M202_LEPTIR";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"38, 40, 41";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12764/"
"M202_FLOWER";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"39, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12766/"
"M202_1FLOWER";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"38";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12817/"
"M202_LEPTIR2";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12839/"
"M202_LEPTIR3";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 38, 39, 40, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12840/"
"M202_BLKFLOWER";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 38, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12841/"
"203397_HEART";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"38, 39, 41";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12842/"
"203397_GIRL";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 38, 39, 41";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12937/"
"203397_BLK";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 38, 40, 42";"crna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12938/"
"M202_LEPTIR4";"LEONARDA COMFORT ANATOMSKE KLOMPE";"LEONARDA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"37, 38, 39, 40, 41";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12950/"
"99966_BLACK";"LET GET SANDALE";"LET GET";"Žensko - Obuća - Sandale";"19,99";"23,99";"37, 38";"crna";"Dostupno";"https://woolf.hr/sandale-proizvod-10599/"
"B9350_BLACK";"LET GET SANDALE";"LET GET";"Žensko - Obuća - Sandale";"23,99";"27,99";"37";"crna";"Dostupno";"https://woolf.hr/sandale-proizvod-10606/"
"6204_WHITE";"LIBER LIGHT KLOMPE";"LIBER LIGHT";"Žensko - Obuća - Anatomska obuća - Klompe";"25,99";"29,90";"36, 37, 41";"bijela";"Dostupno";"https://woolf.hr/klompe-proizvod-12776/"
"6204_BLACK";"LIBER LIGHT KLOMPE";"LIBER LIGHT";"Žensko - Obuća - Anatomska obuća - Klompe";"25,99";"29,90";"36, 37, 40, 41";"crna";"Dostupno";"https://woolf.hr/klompe-proizvod-12777/"
"6204_BEIGE";"LIBER LIGHT KLOMPE";"LIBER LIGHT";"Žensko - Obuća - Anatomska obuća - Klompe";"25,99";"29,90";"36, 40, 41";"bez";"Dostupno";"https://woolf.hr/klompe-proizvod-12778/"
"6204_BLUE";"LIBER LIGHT KLOMPE";"LIBER LIGHT";"Žensko - Obuća - Anatomska obuća - Klompe";"25,99";"29,90";"38";"plava";"Dostupno";"https://woolf.hr/klompe-proizvod-12911/"
"253_N_BEIGE";"LIBER LIGHT KOŽNE NATIKAČE";"LIBER LIGHT";"Žensko - Obuća - Natikače";"24,99";"32,99";"37, 38, 41";"bez";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-8732/"
"253_N_BLUE";"LIBER LIGHT KOŽNE NATIKAČE";"LIBER LIGHT";"Žensko - Obuća - Natikače";"24,99";"32,99";"37";"plava";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-8733/"
"253_N_BLACK";"LIBER LIGHT KOŽNE NATIKAČE";"LIBER LIGHT";"Žensko - Obuća - Natikače";"24,99";"32,99";"36, 37";"crna";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-8734/"
"1468_BLACK";"LIBER LIGHT KOŽNE NATIKAČE";"LIBER LIGHT";"Žensko - Obuća - Papuče";"22,99";"30,39";"36";"crna";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-9125/"
"23438_BORDO";"LIBER LIGHT KOŽNE NATIKAČE";"LIBER LIGHT";"Žensko - Obuća - Papuče";"24,99";"27,99";"36";"bordo";"Dostupno";"https://woolf.hr/kozne-natikace-proizvod-10834/"
"10615_PINK";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Dječje - Obuća - Papuče - Papuče za vodu";"9,99";"11,99";"21, 25, 28, 33, 34";"pink";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-10398/"
"10615_GREEN";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Dječje - Obuća - Papuče - Papuče za vodu";"9,99";"11,99";"20, 28, 29, 33";"zelena";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-10399/"
"10615_BLUE";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Dječje - Obuća - Papuče - Papuče za vodu";"9,99";"11,99";"20, 34";"plava";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-10400/"
"10615_PURPLE";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Dječje - Obuća - Papuče - Papuče za vodu";"9,99";"11,99";"20, 21, 28, 29, 30";"ljubicasta";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-10401/"
"10989_BLACK";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Muško - Obuća - Papuče - Papuče za vodu";"9,99";"12,99";"45, 46";"crna";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-10404/"
"10615_PINKY";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Dječje - Obuća - Papuče - Papuče za vodu";"9,99";"11,99";"28";"pink";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-11618/"
"11448_BLUE";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Muško - Obuća - Papuče - Papuče za vodu";"9,99";"14,99";"41, 42, 43, 44, 45, 46";"plava";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12878/"
"11448_BLACK";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Muško - Obuća - Papuče - Papuče za vodu";"9,99";"14,99";"41, 45, 46";"crna";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12879/"
"11448_D_BLUE";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Muško - Obuća - Papuče - Papuče za vodu";"9,99";"14,99";"41, 42, 44, 45, 46";"plava";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12880/"
"11449_PINK";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Žensko - Obuća - Papuče - Papuče za vodu";"9,99";"15,99";"37, 41";"pink";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12881/"
"11449_GREEN";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Žensko - Obuća - Papuče - Papuče za vodu";"9,99";"15,99";"37, 38, 41";"zelena";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12882/"
"11449_BLACK";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Žensko - Obuća - Papuče - Papuče za vodu";"9,99";"15,99";"36";"crna";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12883/"
"11449_LILA";"LIBERTY PAPUČE ZA VODU";"LIBERTY";"Žensko - Obuća - Papuče - Papuče za vodu";"9,99";"15,99";"36, 37, 41";"ljubicasta";"Dostupno";"https://woolf.hr/papuce-za-vodu-proizvod-12884/"
"590561_NAVY";"LICO TENISICE FLOW VS";"LICO";"Dječje - Obuća - Tenisice";"19,99";"39,68";"28, 29";"pink]]><![CDATA[plava";"Dostupno";"https://woolf.hr/tenisice-flow-vs-proizvod-8092/"
"590543_GREEN";"LICO TENISICE NAPIER VS";"LICO";"Dječje - Obuća - Tenisice";"19,99";"39,68";"31, 32";"plava]]><![CDATA[zelena";"Dostupno";"https://woolf.hr/tenisice-napier-vs-proizvod-8089/"
"590553_PINK";"LICO TENISICE SERENT VS";"LICO";"Dječje - Obuća - Tenisice";"19,99";"39,68";"32";"pink]]><![CDATA[plava";"Dostupno";"https://woolf.hr/tenisice-serent-vs-proizvod-8088/"
"590592_BLUE";"LICO TENISICE SKIP VS";"LICO";"Dječje - Obuća - Tenisice";"18,99";"33,05";"31, 32";"narancasta]]><![CDATA[plava";"Dostupno";"https://woolf.hr/tenisice-skip-vs-proizvod-8094/"
"2400350U_BLACK";"LOTTO GLEŽNJAČE MAEMOORE MID";"LOTTO";"Žensko - Obuća - Gležnjače";"45,99";"49,99";"36";"crna";"Dostupno";"https://woolf.hr/gleznjace-maemoore-mid-proizvod-11262/"
"LTF241B111_01";"LOTTO KOPAČKE ALFFA";"LOTTO";"Dječje - Obuća - Tenisice - Kopačke";"32,99";"42,99";"29, 36";"crna]]><![CDATA[zuta";"Dostupno";"https://woolf.hr/kopacke-alffa-proizvod-10110/"
"LTF241B117_64";"LOTTO KOPAČKE MEDO";"LOTTO";"Dječje - Obuća - Tenisice - Kopačke";"32,99";"39,99";"29, 33";"crna]]><![CDATA[zelena";"Dostupno";"https://woolf.hr/kopacke-medo-proizvod-11090/"
"LTF241M125_64";"LOTTO KOPAČKE MEDO";"LOTTO";"Muško - Obuća - Tenisice - Kopačke";"39,99";"44,99";"46";"zelena";"Dostupno";"https://woolf.hr/kopacke-medo-proizvod-11092/"
"FLYDE_BLK_WHT";"LOTTO NATIKAČE";"LOTTO";"Žensko - Obuća - Natikače";"18,99";"21,99";"36, 37, 38";"crna";"Dostupno";"https://woolf.hr/natikace-proizvod-12663/"
"SLAY_BEIGE";"LOTTO NATIKAČE";"LOTTO";"Žensko - Obuća - Natikače";"16,99";"20,99";"36, 37, 42";"bez";"Dostupno";"https://woolf.hr/natikace-proizvod-12664/"
"LTF261F401_WHITE";"LOTTO NATIKAČE BIMINI";"LOTTO";"Žensko - Obuća - Natikače";"16,99";"21,99";"36, 37, 41";"bijela";"Dostupno";"https://woolf.hr/natikace-bimini-proizvod-12852/"
"LTF261F401_LILA";"LOTTO NATIKAČE BIMINI";"LOTTO";"Žensko - Obuća - Natikače";"16,99";"21,99";"36, 37, 39";"ljubicasta";"Dostupno";"https://woolf.hr/natikace-bimini-proizvod-12853/"
"LTF241G404_46";"LOTTO NATIKAČE SHELL";"LOTTO";"Dječje - Obuća - Natikače";"9,99";"16,99";"30, 31, 33";"ljubicasta]]><![CDATA[narancasta]]><![CDATA[pink";"Dostupno";"https://woolf.hr/natikace-shell-proizvod-10282/"
"2600710K_NAVY";"LOTTO SANDALE MOTEMA";"LOTTO";"Dječje - Obuća - Sandale";"24,99";"28,99";"30, 31, 32";"plava";"Dostupno";"https://woolf.hr/sandale-motema-proizvod-11339/"
"RAYSE_BLACK";"LOTTO TENISICE";"LOTTO";"Žensko - Obuća - Tenisice";"39,99";"48,99";"36, 37, 38, 39, 41, 44, 46";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-12665/"
"RELAZIO_TAUPE_SAND";"LOTTO TENISICE";"LOTTO";"Žensko - Obuća - Tenisice";"35,90";"43,99";"36, 37, 39, 40, 41";"bez";"Dostupno";"https://woolf.hr/tenisice-proizvod-12666/"
"RELAZIO_BLACK_GREY";"LOTTO TENISICE";"LOTTO";"Muško - Obuća - Tenisice";"35,90";"43,99";"42, 44, 45, 46";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-12667/"
"CONNECT_BLK_GREY";"LOTTO TENISICE";"LOTTO";"Muško - Obuća - Tenisice";"35,99";"39,99";"42";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-12668/"
"CONNECT_RED_WHT";"LOTTO TENISICE";"LOTTO";"Muško - Obuća - Tenisice";"35,99";"39,99";"44, 45, 46";"crvena";"Dostupno";"https://woolf.hr/tenisice-proizvod-12669/"
"CONNECT_BLACK_WHT";"LOTTO TENISICE";"LOTTO";"Muško - Obuća - Tenisice";"35,99";"39,99";"42, 45";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-12676/"
"2400571U_BLACK";"LOTTO TENISICE AKIMOTO OC";"LOTTO";"Muško - Obuća - Tenisice";"39,00";"59,99";"39";"crna";"Dostupno";"https://woolf.hr/tenisice-akimoto-oc-proizvod-11337/"
"LTF243B101_02";"LOTTO TENISICE BATY";"LOTTO";"Dječje - Obuća - Tenisice";"32,99";"41,99";"32, 33";"plava";"Dostupno";"https://woolf.hr/tenisice-baty-proizvod-11093/"
"LTF231M101_62";"LOTTO TENISICE BLUR";"LOTTO";"Muško - Obuća - Tenisice";"39,00";"54,99";"40";"crna";"Dostupno";"https://woolf.hr/tenisice-blur-proizvod-8751/"
"1060_WHITE_G";"LOTTO TENISICE BURGAS";"LOTTO";"Dječje - Obuća - Tenisice";"19,99";"29,99";"26, 32, 33";"bijela]]><![CDATA[zelena";"Dostupno";"https://woolf.hr/tenisice-burgas-proizvod-10880/"
"1082_WHITE";"LOTTO TENISICE BURGAS";"LOTTO";"Dječje - Obuća - Tenisice";"16,99";"29,99";"26, 28";"bijela";"Dostupno";"https://woolf.hr/tenisice-burgas-proizvod-10881/"
