Sifra;SidrenaCijena;NazivAkcije;Barkod;JedinicaMjere;CijenaPoJedinici;DatumSidrene
AA01_HEART;62.99;;;;;
AA01_N_WHITE;62.99;;;;;
AA01_PERLAWHT;64.99;;;;;
AA01_P_GOLD;62.99;;;;;
AA01_SILVER;62.99;;;;;
AA01_SILVERW;62.99;;;;;2026-09-26
AA01_SILVERWHT;62.99;;;;;
AA01_TERAKOTAW;64.99;;;;;
AA01_WHITEG;62.99;;;;;2026-09-26
AA01_WWHITE;62.99;;;;;
AA200_GOLD;56.99;;;;;
AA200_GOLDWHT;56.99;;;;;
AA200_PERLAWHITE;56.99;;;;;
AC011_RED;10.49;;;;;
AFZAL_BROWN;10.49;;;;;
AFZAL_GREY;10.49;;;;;
AK0137_03_BLUE;19.78;;;;;
ALEX_GREY;56.00;;;;;
AMY_BROWN;11.81;;;;;
ARLA_BLACK;21.99;;;;;
ARLA_FUXIA;21.99;;;;;
ARLA_PURPLE;21.99;;;;;
ASPEN_BLACK_1;19.78;;;;;
ASPEN_NAVY_1;19.78;;;;;
AYLA_BLUE;10.49;;;;;
AYLA_BROWN;10.49;;;;;
AYLA_GREY;10.49;;;;;
B02_BLACK;19.99;;;;;
B104_PINKI;25.99;;;;;
B142_BLACK;25.99;;;;;
B185230_GREY;27.99;;;;;
B186870_BROWN;27.99;;;;;
B376_BLACK;7.99;;;;;
B376_BLUE;7.99;;;;;
B376_PINK;7.99;;;;;
B429463_BLACK;28.99;;;;;
B821203_BEIGE;25.99;;;;;
B850060_PINK;23.99;;;;;
B851340_BLACK;35.99;;;;;
B859270_NAVY;11.99;;;;;
B862280_NAVY;28.99;;;;;
B893695_NAVY;28.99;;;;;
B907240_GREY;23.99;;;;;
B9350_BLACK;27.99;;;;;
BALIS_SILVER;26.41;;;;;
BESTBOY_BLACK;39.99;;;;;
BESTRUN_BLACK;39.99;;;;;
BG166_RED;17.99;;;;;
BKKX7110_BLACK;41.99;;;;;
BORKUM_42FLOWER;34.99;;;;;
BORKUM_BLACK;32.99;;;;;
BORKUM_FLOWER;34.99;;;;;
BORKUM_NEWS;34.99;;;;;
BORKUM_RED;32.99;;;;;
BORKUM_WHITE;32.99;;;;;
C128C_RED;26.41;;;;;
C2455_BEIGE;9.99;;;;;
C8051_BLACK;19.99;;;;;
C882_BLACK;39.99;;;;;
CH133U05_04;7.99;;;;;
CH15W15_10;7.29;;;;;
CHE243M101_01;38.99;;;;;
CHE251M102_01;16.99;;;;;
CHE251M102_02;16.99;;;;;
CHF241B125_10_WHITE;39.99;;;;;
CHF241B150_02;35.99;;;;;
CHF241B403_06;18.99;;;;;
CHF241G125_08_WHITE;41.99;;;;;
CHF241G151_10;39.99;;;;;
CHF241M100_01;51.99;;;;;
CHF251B109_61;44.99;;;;;
CHF251B418_22;18.99;;;;;
CHF251F105_01_BLACK;59.99;;;;;
CHF251F110_11;62.99;;;;;
CHF251F120_06;58.99;;;;;
CHF251F120_10;58.99;;;;;
CHF251G105_01;37.99;;;;;
CHF251M117_02;59.99;;;;;
CHF251M117_30;55.99;;;;;
CHF261M111_02;54.90;;;;;
CITI_BLACK;21.10;;;;;
CONNECT_BLACK_WHT;39.99;;;;;
CONNECT_BLK_GREY;39.99;;;;;
CONNECT_RED_WHT;39.99;;;;;
D314_PERLA;51.99;;;;;
D314_WHITE;51.99;;;;;
D315_FLOWER;51.99;;;;;
DBS9139_BEIGE;25.99;;;;;
D_175_BLACK;44.99;;;;;
D_300_BLACK;44.99;;;;;
D_300_BRONZE;47.99;;;;;
D_300_FLOWER;44.99;;;;;
D_312_DOKTOR;47.99;;;;;
D_312_FLOWER;42.99;;;;;
D_312_FLOWER_K;42.99;;;;;
D_312_PLUTASILVER;49.99;;;;;
D_312_SILVER;47.99;;;;;
D_314_WHITE;52.99;;;;;
D_315_FLOWER;52.99;;;;;
D_316_BLACK;52.99;;;;;
D_316_BRONZE;52.99;;;;;
D_316_FLOWER;52.99;;;;;
D_316_SILVER;52.99;;;;;
D_316_WHITE_K;52.99;;;;;
D_317_K_BLACK;52.99;;;;;
D_322_PWDSILV_K;52.99;;;;;
EBU_NAVY;26.99;;;;;
EBU_PURPLE;26.99;;;;;
EMY_RED;22.99;;;;;
ENI_BLUE;24.99;;;;;
ERIC_FUXIA;42.99;;;;;
ERIC_ORANGE;48.99;;;;;
ERIC_ORANGE_BLUE;35.70;;;;;
ERZBERG_GREY;62.25;;;;;
F01_BLACK_NN;54.99;;;;;
F01_CRNA2;59.59;;;;;
F01_CRNA_W2;59.59;;;;;
F01_CRNA_WB;59.59;;;;;
F01_HEART_C;59.59;;;;;
F01_ORANGE;59.59;;;;;
F01_RED_C;59.59;;;;;
F01_RED_NN;59.59;;;;;
F01_SMEDA;59.59;;;;;
F01_SMEDA_MAT;59.59;;;;;
F01_WHITE_1;59.59;;;;;
F02_CRNA_2;59.59;;;;;
F05_BLACK;62.25;;;;;
F05_FLOWER_1C;62.25;;;;;
F05_FLOWER_CP;62.25;;;;;
F200_BLACK_NN;49.99;;;;;
F200_CRNA_I;46.32;;;;;
F200_GOLD_WOOD;51.99;;;;;
F419_BLACK;30.99;;;;;
F81021_BLACK;18.45;;;;;
FF01_1TERAKOTA;62.99;;;;;
FF01_1_BLACK;62.99;;;;;
FF01_1_TERAKOTA;62.99;;;;;
FF01_HEART;62.99;;;;;
FF01_PERLA;62.99;;;;;
FF05_P_WHITE;62.25;;;;;
FF200_WHITE_P;54.99;;;;;
FLYDE_BLK_WHT;21.99;;;;;
G30_BEIGE;31.99;;;;;
GL173_BORDO;19.99;;;;;
GROSSGLOCKNER_GREY_FUCHSIA;48.97;;;;;
GS58P_BEIGE;24.99;;;;;
H352_BLACKDOG;24.99;;;;;2026-09-26
H352_DALMAT;24.99;;;;;2026-09-26
H352_LEPTIR;24.99;;;;;2026-09-26
H8308_SILVER;32.99;;;;;
H8308_WHITE;32.99;;;;;
H9102_BEIGE;27.99;;;;;
HAMBURG_CRVENA;11.81;;;;;
HG22322_PURPLE;11.81;;;;;
HG22883_GOLD;15.79;;;;;
