"Šifra";"Prethodna sidrena (redovna)";"Ispravljena sidrena (akcijska)";"Aktualna cijena u snapshotu";"Redovna cijena u snapshotu"
"6000_1_WHITE";"55,99";"51,99";"51,99";"55,99"
"6005_N_BLACK";"57,99";"52,99";"52,99";"57,99"
"6005_N_WHITE";"57,99";"52,99";"52,99";"57,99"
"6204_BEIGE";"29,90";"25,99";"25,99";"29,90"
"6204_BLACK";"29,90";"25,99";"25,99";"29,90"
"6204_BLUE";"29,90";"25,99";"25,99";"29,90"
"6204_WHITE";"29,90";"25,99";"25,99";"29,90"
"6711_OLIVE";"42,99";"32,99";"32,99";"42,99"
"8188OU_LUA";"44,99";"34,99";"34,99";"44,99"
"8940A_BLACKGREY";"7,99";"6,99";"6,99";"7,99"
"8940A_BLACKWHITE";"7,99";"6,99";"6,99";"7,99"
"8940A_NAVYWHITE";"7,99";"6,99";"6,99";"7,99"
"9421_PINKI";"29,07";"18,99";"18,99";"29,07"
"09878_1BLACK";"18,99";"16,99";"16,99";"18,99"
"09878_1BROWN";"18,99";"16,99";"16,99";"18,99"
"10127_WHITE";"41,99";"29,99";"29,99";"41,99"
"10179_1OLIVE";"54,99";"42,99";"42,99";"54,99"
"10179_NAVY";"49,99";"38,99";"38,99";"49,99"
"10179_OLIVE";"49,99";"38,99";"38,99";"49,99"
"10268_BLK_WHITE";"46,99";"36,99";"36,99";"46,99"
"10273_PINK";"40,99";"29,99";"29,99";"40,99"
"10274_NAVY";"51,99";"38,00";"38,00";"51,99"
"10297_GREEN";"40,99";"31,99";"31,99";"40,99"
"10404_NAVY";"49,99";"38,99";"38,99";"49,99"
"10408_NAVY";"32,99";"25,99";"25,99";"32,99"
"10408_PINK";"32,99";"25,99";"25,99";"32,99"
"10413_GREY";"51,99";"38,00";"38,00";"51,99"
"10615_BLUE";"11,99";"9,99";"9,99";"11,99"
"10615_GREEN";"11,99";"9,99";"9,99";"11,99"
"10615_PINK";"11,99";"9,99";"9,99";"11,99"
"10615_PINKY";"11,99";"9,99";"9,99";"11,99"
"10615_PURPLE";"11,99";"9,99";"9,99";"11,99"
"10989_1_YELLOW";"37,99";"26,99";"26,99";"37,99"
"10989_BLACK";"12,99";"9,99";"9,99";"12,99"
"10989_YELLOW";"32,99";"24,99";"24,99";"32,99"
"11123_GREY";"11,99";"6,00";"6,00";"11,99"
"11448_BLACK";"14,99";"9,99";"9,99";"14,99"
"11448_BLUE";"14,99";"9,99";"9,99";"14,99"
"11448_D_BLUE";"14,99";"9,99";"9,99";"14,99"
"11449_BLACK";"15,99";"9,99";"9,99";"15,99"
"11449_GREEN";"15,99";"9,99";"9,99";"15,99"
"11449_LILA";"15,99";"9,99";"9,99";"15,99"
"11449_PINK";"15,99";"9,99";"9,99";"15,99"
"12394_BB533_06601";"30,99";"27,99";"27,99";"30,99"
"12615_GREY";"64,99";"46,00";"46,00";"64,99"
"12980_WHITE";"72,99";"49,00";"49,00";"72,99"
"13087_WHITE";"81,99";"59,00";"59,00";"81,99"
"13464_BEIGEB";"19,99";"17,99";"17,99";"19,99"
"13464_BEIGEBL";"19,99";"17,99";"17,99";"19,99"
"13464_BEIGEN";"19,99";"17,99";"17,99";"19,99"
"13464_BLACKB";"19,99";"17,99";"17,99";"19,99"
"13464_BORDOW";"19,99";"17,99";"17,99";"19,99"
"13466_1FLOWER";"22,99";"19,99";"19,99";"22,99"
"13466_BLACK_FLOW";"22,99";"19,99";"19,99";"22,99"
"14634_1RED";"17,99";"15,99";"15,99";"17,99"
"14634_BLACK";"17,99";"15,99";"15,99";"17,99"
"14634_NAVY";"17,99";"15,99";"15,99";"17,99"
"14634_PINK";"17,99";"15,99";"15,99";"17,99"
"14634_WHITE";"17,99";"15,99";"15,99";"17,99"
"15003";"39,99";"24,99";"24,99";"39,99"
"15005_NERO";"39,99";"24,99";"24,99";"39,99"
"15158_1WHITE";"20,99";"19,99";"19,99";"20,99"
"15158_2WHITE";"20,99";"19,99";"19,99";"20,99"
"15158_WHITE";"20,99";"19,99";"19,99";"20,99"
"20337_BEIGE";"24,99";"19,99";"19,99";"24,99"
"20337_PINK";"24,99";"22,49";"22,49";"24,99"
"022005_WHITE";"30,39";"17,09";"17,09";"30,39"
"23438_BORDO";"27,99";"24,99";"24,99";"27,99"
"26669_AB480_02064";"24,99";"14,99";"14,99";"24,99"
"27018_AF383_20797";"24,99";"19,99";"19,99";"24,99"
"27238_BH322_02586";"32,99";"29,99";"29,99";"32,99"
"30283_WHT_PINK";"44,99";"38,24";"38,24";"44,99"
"30285_BLACK";"49,99";"39,90";"39,90";"49,99"
"32504_BEIGE";"66,99";"49,00";"49,00";"66,99"
"39212_BLACK";"50,99";"39,00";"39,00";"50,99"
"60107";"5,18";"5,09";"5,09";"5,18"
"65025PT_A";"199,99";"169,99";"169,99";"199,99"
"65025PT_B";"199,99";"139,99";"139,99";"199,99"
"70210_BLACK";"48,99";"39,00";"39,00";"48,99"
"70221_BLK";"48,99";"39,99";"39,99";"48,99"
"81753U_LEE";"55,61";"34,99";"34,99";"55,61"
"81875U_LUA";"49,99";"35,00";"35,00";"49,99"
"81997_BC815_35357";"22,99";"17,99";"17,99";"22,99"
"82598_AS039_20676";"28,99";"21,99";"21,99";"28,99"
"82670_20032_04297";"18,45";"12,99";"12,99";"18,45"
"82935_BLUE";"30,39";"19,99";"19,99";"30,39"
"83243_AS021_02102";"25,99";"22,99";"22,99";"25,99"
"83244_20766_02234";"25,99";"22,99";"22,99";"25,99"
"83244_BD842_02102";"25,99";"20,99";"20,99";"25,99"
"83335_AH731_04121";"24,99";"19,99";"19,99";"24,99"
"83349_AH867_05857";"19,99";"14,99";"14,99";"19,99"
"83349_AH869_05857";"19,99";"14,99";"14,99";"19,99"
"83386_AJ500_02064";"29,99";"17,99";"17,99";"29,99"
"83470_AO899_20812";"17,99";"12,99";"12,99";"17,99"
"83485_AR576_09942";"30,99";"24,99";"24,99";"30,99"
"83527_BB402_02976";"28,99";"25,99";"25,99";"28,99"
"83543_24006_41531";"19,99";"14,99";"14,99";"19,99"
"83543_AQ993_33665";"19,99";"14,99";"14,99";"19,99"
"83582_AW914_08679";"15,99";"12,99";"12,99";"15,99"
"83585_AT220_33165";"33,99";"24,99";"24,99";"33,99"
"83606_AW816_50230";"28,99";"21,99";"21,99";"28,99"
"83609_AZ064_05809";"17,99";"13,99";"13,99";"17,99"
"83614_AY571_36063";"24,99";"21,99";"21,99";"24,99"
"83614_AY575_36063";"24,99";"19,99";"19,99";"24,99"
"83615_BC943_09942";"29,99";"26,99";"26,99";"29,99"
"83615_BC950_09942";"29,99";"26,99";"26,99";"29,99"
"83621_AZ046_05809";"17,99";"13,99";"13,99";"17,99"
"83629_BC877_02007";"27,99";"17,99";"17,99";"27,99"
"83659_BB879_35357";"22,99";"17,99";"17,99";"22,99"
"83660_BC739_08679";"25,99";"20,99";"20,99";"25,99"
"99966_BLACK";"23,99";"19,99";"19,99";"23,99"
"102690_GREY";"46,99";"26,99";"26,99";"46,99"
"117561_PURPLE";"72,99";"49,00";"49,00";"72,99"
"117617_PINK";"81,99";"59,00";"59,00";"81,99"
"149536_PINK";"71,99";"39,00";"39,00";"71,99"
"149691_BLACK";"71,99";"49,00";"49,00";"71,99"
"150025_WHITE";"82,99";"49,00";"49,00";"82,99"
"150111_BLACK";"79,99";"39,00";"39,00";"79,99"
"155196_BLACK";"86,99";"45,00";"45,00";"86,99"
"203053B_BEIGE";"24,99";"17,99";"17,99";"24,99"
"203397_BEIGE";"24,99";"22,99";"22,99";"24,99"
"203397_BLK";"24,99";"22,99";"22,99";"24,99"
"203397_GIRL";"24,99";"22,99";"22,99";"24,99"
"203397_HEART";"24,99";"22,99";"22,99";"24,99"
"220635_1H8";"69,99";"49,00";"49,00";"69,99"
"232399_BLACK";"72,99";"49,00";"49,00";"72,99"
"237704_BLACK";"72,99";"49,99";"49,99";"72,99"
"241635_1_BROWN";"49,99";"44,99";"44,99";"49,99"
"241635_BROWN";"49,99";"44,99";"44,99";"49,99"
"242533_BLACK";"43,99";"32,00";"32,00";"43,99"
"242681_WHITE";"49,99";"44,99";"44,99";"49,99"
"243046_OLIVE";"53,99";"48,99";"48,99";"53,99"
"243180_WHITE";"49,99";"35,00";"35,00";"49,99"
"243316_WHITE";"57,99";"49,99";"49,99";"57,99"
"243317_WHITE";"54,99";"49,99";"49,99";"54,99"
"243368_BLACK";"44,99";"39,99";"39,99";"44,99"
"243377_BLACK";"58,99";"39,00";"39,00";"58,99"
"243380_NAVY";"58,99";"50,99";"50,99";"58,99"
"243418_BLACK";"49,99";"39,99";"39,99";"49,99"
"260991K_OLIVE";"45,99";"34,99";"34,99";"45,99"
"261071K_RED";"42,99";"34,99";"34,99";"42,99"
"261561_1PL_PINK";"9,99";"7,99";"7,99";"9,99"
"261561PL_PINK";"9,99";"8,99";"8,99";"9,99"
"261603PL_NAVY";"9,99";"7,99";"7,99";"9,99"
"295685_GREEN";"7,83";"3,99";"3,99";"7,83"
"295685_NAVY";"7,83";"3,99";"3,99";"7,83"
"316642_N_NAVY";"24,99";"14,99";"14,99";"24,99"
"326106_BLACK";"26,41";"9,99";"9,99";"26,41"
"326106_BROWN";"26,41";"9,99";"9,99";"26,41"
"326106_NAVY";"26,41";"9,99";"9,99";"26,41"
"590543_GREEN";"39,68";"19,99";"19,99";"39,68"
"590553_PINK";"39,68";"19,99";"19,99";"39,68"
"590561_NAVY";"39,68";"19,99";"19,99";"39,68"
"590592_BLUE";"33,05";"18,99";"18,99";"33,05"
"1001426_TA";"39,99";"14,99";"14,99";"39,99"
"1999434_G_37_40";"5,18";"3,79";"3,79";"5,18"
"1999434_LIME";"5,18";"3,79";"3,79";"5,18"
"2400000X_GREY";"44,99";"38,00";"38,00";"44,99"
"2400001U_WHITE";"39,99";"36,99";"36,99";"39,99"
"2400001X_RED";"44,99";"38,00";"38,00";"44,99"
"2400001X_WHITE";"44,99";"38,00";"38,00";"44,99"
"2400121U_BLACK";"44,99";"35,00";"35,00";"44,99"
"2400330X_BLACK";"53,99";"39,00";"39,00";"53,99"
"2400340_BLACK";"59,99";"39,00";"39,00";"59,99"
"2400340U_BEIGE";"59,99";"39,99";"39,99";"59,99"
"2400350U_BLACK";"49,99";"45,99";"45,99";"49,99"
"2400483_BEIGE";"53,99";"39,00";"39,00";"53,99"
"2400571U_BLACK";"59,99";"39,00";"39,00";"59,99"
"2400630W_BLACK";"48,99";"39,00";"39,00";"48,99"
"2600000_BLACK";"28,99";"19,99";"19,99";"28,99"
"2600000_PINK";"28,99";"21,99";"21,99";"28,99"
"2600120K_BLACK";"28,99";"19,99";"19,99";"28,99"
"2600341T_BLACK";"47,99";"36,00";"36,00";"47,99"
"2600710K_NAVY";"28,99";"24,99";"24,99";"28,99"
"2600920K_NAVY";"28,99";"19,99";"19,99";"28,99"
"2601220K_NAVY";"28,99";"19,99";"19,99";"28,99"
"2609820_RED";"28,99";"19,99";"19,99";"28,99"
"2746200";"9,16";"5,09";"5,09";"9,16"
"3500148_NAVY";"11,81";"7,79";"7,79";"11,81"
"3500275_BROWN";"35,70";"19,99";"19,99";"35,70"
"3500769_BLUE";"9,16";"5,99";"5,99";"9,16"
"3500769_PINK";"9,16";"5,09";"5,09";"9,16"
"3500769_PINKI";"9,16";"5,99";"5,99";"9,16"
"3500769_RED";"9,16";"5,99";"5,99";"9,16"
"3500914_GREY_BLACK";"26,41";"14,99";"14,99";"26,41"
"3500941_PINK";"30,39";"22,39";"22,39";"30,39"
"3501052";"26,41";"14,99";"14,99";"26,41"
"3501052_BLUE";"26,41";"9,99";"9,99";"26,41"
"3501080_NAVY";"6,50";"3,85";"3,85";"6,50"
"3501080_PINKY";"6,50";"3,79";"3,79";"6,50"
"3501394_GREY";"26,41";"18,99";"18,99";"26,41"
"3501668_NAVY";"33,05";"19,99";"19,99";"33,05"
"3501699_NAVY";"32,99";"14,99";"14,99";"32,99"
"3501911_BLACK";"16,99";"9,99";"9,99";"16,99"
"3501911_BLUE";"16,99";"9,99";"9,99";"16,99"
"3501911_WHITE";"16,99";"9,99";"9,99";"16,99"
"3501944_BLUE";"35,70";"19,99";"19,99";"35,70"
"3501944_GREY";"35,70";"19,99";"19,99";"35,70"
"3501947_BLACK";"35,70";"19,99";"19,99";"35,70"
"3502053_BLUE";"35,70";"19,99";"19,99";"35,70"
"3502053_NAVY";"35,70";"19,99";"19,99";"35,70"
"3502055_1_BLUE";"24,99";"19,99";"19,99";"24,99"
"3502055_NAVY";"35,70";"19,99";"19,99";"35,70"
"3502467_BLACK";"29,99";"19,99";"19,99";"29,99"
"3502467_GREY";"29,99";"19,99";"19,99";"29,99"
"6500944B";"899,00";"649,00";"649,00";"899,00"
"6500944BC";"889,00";"649,00";"649,00";"889,00"
"6502035_JEDNOROG";"16,99";"8,99";"8,99";"16,99"
"6502035_LAMA";"16,99";"8,99";"8,99";"16,99"
"6502035_VODENKONJ";"16,99";"8,99";"8,99";"16,99"
"6502156_C";"303,94";"149,00";"149,00";"303,94"
"6502156_TA";"39,99";"14,99";"14,99";"39,99"
"6502156G";"14,99";"7,99";"7,99";"14,99"
"6502156N";"14,99";"7,99";"7,99";"14,99"
"6502156RK";"6,99";"4,99";"4,99";"6,99"
"6502156RKG";"6,99";"4,99";"4,99";"6,99"
"6502156SK";"15,00";"6,99";"6,99";"15,00"
"6502157";"39,00";"13,99";"13,99";"39,00"
"6502157_B";"39,00";"11,99";"11,99";"39,00"
"6502157_CV";"11,99";"7,99";"7,99";"11,99"
"6502157P";"14,99";"9,99";"9,99";"14,99"
"6502157VB";"49,99";"39,99";"39,99";"49,99"
"6502704_A_396";"249,00";"129,00";"129,00";"249,00"
"A01_FLOWER_C";"59,59";"54,99";"54,99";"59,59"
"A01_GREEN_N";"59,59";"54,99";"54,99";"59,59"
"A01_HEART_C";"59,59";"54,99";"54,99";"59,59"
"A01_PINK_C";"59,59";"54,99";"54,99";"59,59"
"A01_PINK_C1";"59,59";"54,99";"54,99";"59,59"
"A01_RED_C";"59,59";"54,99";"54,99";"59,59"
"A05_FLOWER_PC";"62,25";"54,99";"54,99";"62,25"
"A06_SILVER_C";"70,21";"54,99";"54,99";"70,21"
"A66_WHITE";"14,99";"12,99";"12,99";"14,99"
"A200_GREEN_1C";"54,99";"46,99";"46,99";"54,99"
"A8358_RED";"17,12";"11,99";"11,99";"17,12"
"A8369_PINK";"17,12";"9,99";"9,99";"17,12"
"AA01_2_TERAKOTA";"62,99";"56,99";"56,99";"62,99"
"AA01_B_SILVER";"62,99";"56,99";"56,99";"62,99"
"AA01_BEIGE";"62,99";"49,99";"49,99";"62,99"
"AA01_BLACK";"62,99";"56,99";"56,99";"62,99"
"AA01_BLACKPUDER";"62,99";"56,99";"56,99";"62,99"
"AA01_BLACKWHT";"62,99";"58,99";"58,99";"62,99"
"AA01_GOLDPUDER";"62,99";"56,99";"56,99";"62,99"
"AA01_GOLDWHT";"64,99";"58,99";"58,99";"64,99"
"AA01_HEART";"62,99";"56,99";"56,99";"62,99"
"AA01_N_WHITE";"62,99";"56,99";"56,99";"62,99"
"AA01_P_GOLD";"62,99";"56,99";"56,99";"62,99"
"AA01_PERLAWHT";"64,99";"58,99";"58,99";"64,99"
"AA01_SILVER";"62,99";"56,99";"56,99";"62,99"
"AA01_SILVERWHT";"62,99";"58,99";"58,99";"62,99"
"AA01_TERAKOTAW";"64,99";"58,99";"58,99";"64,99"
"AA01_WWHITE";"62,99";"58,99";"58,99";"62,99"
"AA200_GOLD";"56,99";"51,99";"51,99";"56,99"
"AA200_GOLDWHT";"56,99";"51,99";"51,99";"56,99"
"AA200_PERLAWHITE";"56,99";"51,29";"51,29";"56,99"
"AC011_RED";"10,49";"6,49";"6,49";"10,49"
"AFZAL_BROWN";"10,49";"7,79";"7,79";"10,49"
"AFZAL_GREY";"10,49";"7,79";"7,79";"10,49"
"AK0137_03_BLUE";"19,78";"6,99";"6,99";"19,78"
"ALEX_GREY";"56,00";"48,99";"48,99";"56,00"
"AMY_BROWN";"11,81";"9,09";"9,09";"11,81"
"ARLA_BLACK";"21,99";"14,99";"14,99";"21,99"
"ARLA_FUXIA";"21,99";"14,99";"14,99";"21,99"
"ARLA_PURPLE";"21,99";"14,99";"14,99";"21,99"
"ASPEN_BLACK_1";"19,78";"11,99";"11,99";"19,78"
"ASPEN_NAVY_1";"19,78";"11,99";"11,99";"19,78"
"AYLA_BLUE";"10,49";"7,79";"7,79";"10,49"
"AYLA_BROWN";"10,49";"7,79";"7,79";"10,49"
"AYLA_GREY";"10,49";"7,79";"7,79";"10,49"
"B02_BLACK";"19,99";"17,99";"17,99";"19,99"
"B104_PINKI";"25,99";"13,99";"13,99";"25,99"
"B142_BLACK";"25,99";"13,99";"13,99";"25,99"
"B376_BLACK";"7,99";"6,29";"6,29";"7,99"
"B376_BLUE";"7,99";"6,29";"6,29";"7,99"
"B376_PINK";"7,99";"6,29";"6,29";"7,99"
"B9350_BLACK";"27,99";"23,99";"23,99";"27,99"
"B185230_GREY";"27,99";"14,99";"14,99";"27,99"
"B186870_BROWN";"27,99";"21,99";"21,99";"27,99"
"B429463_BLACK";"28,99";"23,99";"23,99";"28,99"
"B821203_BEIGE";"25,99";"18,99";"18,99";"25,99"
"B850060_PINK";"23,99";"20,99";"20,99";"23,99"
"B851340_BLACK";"35,99";"32,49";"32,49";"35,99"
"B859270_NAVY";"11,99";"8,99";"8,99";"11,99"
"B862280_NAVY";"28,99";"24,99";"24,99";"28,99"
"B893695_NAVY";"28,99";"19,99";"19,99";"28,99"
